iter	Passed	Remaining
0	172	172374
1	191	95749
2	216	71841
3	242	60355
4	277	55321
5	307	50931
6	326	46310
7	352	43668
8	375	41392
9	402	39804
10	426	38370
11	467	38479
12	500	37994
13	532	37518
14	560	36797
15	588	36192
16	626	36215
17	665	36298
18	695	35928
19	722	35404
20	757	35297
21	785	34915
22	821	34910
23	866	35255
24	902	35215
25	928	34797
26	960	34608
27	988	34299
28	1011	33854
29	1034	33445
30	1057	33056
31	1081	32715
32	1108	32474
33	1137	32324
34	1155	31868
35	1176	31506
36	1196	31133
37	1215	30769
38	1236	30472
39	1258	30212
40	1283	30032
41	1305	29773
42	1326	29527
43	1349	29320
44	1368	29040
45	1389	28807
46	1407	28546
47	1428	28331
48	1451	28173
49	1479	28116
50	1500	27925
51	1520	27726
52	1542	27558
53	1561	27360
54	1581	27167
55	1600	26975
56	1618	26783
57	1639	26634
58	1662	26507
59	1683	26378
60	1708	26294
61	1730	26180
62	1756	26124
63	1780	26037
64	1802	25923
65	1825	25827
66	1848	25735
67	1868	25615
68	1888	25483
69	1908	25356
70	1936	25337
71	1959	25255
72	1980	25151
73	1998	25013
74	2018	24899
75	2037	24777
76	2059	24687
77	2081	24600
78	2101	24497
79	2120	24389
80	2143	24314
81	2169	24287
82	2190	24196
83	2212	24121
84	2230	24009
85	2250	23916
86	2272	23846
87	2295	23785
88	2315	23704
89	2336	23619
90	2361	23588
91	2384	23534
92	2404	23454
93	2426	23384
94	2445	23292
95	2465	23221
96	2487	23156
97	2508	23091
98	2529	23017
99	2549	22948
100	2573	22902
101	2600	22891
102	2620	22825
103	2642	22764
104	2662	22691
105	2686	22657
106	2708	22601
107	2728	22537
108	2749	22472
109	2769	22407
110	2796	22394
111	2818	22344
112	2839	22287
113	2860	22234
114	2883	22189
115	2905	22141
116	2924	22073
117	2943	22001
118	2964	21944
119	2988	21914
120	3013	21893
121	3032	21823
122	3052	21767
123	3072	21705
124	3095	21669
125	3117	21623
126	3136	21561
127	3157	21508
128	3176	21447
129	3205	21452
130	3245	21531
131	3265	21472
132	3286	21426
133	3310	21392
134	3329	21335
135	3351	21292
136	3370	21234
137	3391	21184
138	3414	21150
139	3437	21119
140	3465	21110
141	3484	21052
142	3508	21025
143	3528	20974
144	3546	20913
145	3567	20865
146	3586	20812
147	3621	20846
148	3648	20839
149	3682	20868
150	3709	20859
151	3730	20811
152	3754	20785
153	3781	20774
154	3808	20763
155	3829	20715
156	3851	20678
157	3870	20624
158	3892	20589
159	3916	20562
160	3936	20512
161	3958	20475
162	3978	20430
163	3999	20386
164	4020	20344
165	4042	20308
166	4063	20270
167	4083	20225
168	4107	20196
169	4133	20181
170	4157	20154
171	4177	20111
172	4197	20067
173	4219	20031
174	4241	19997
175	4263	19961
176	4287	19933
177	4310	19905
178	4336	19891
179	4361	19870
180	4384	19837
181	4402	19786
182	4424	19752
183	4445	19714
184	4467	19681
185	4486	19635
186	4506	19591
187	4524	19541
188	4547	19514
189	4577	19516
190	4600	19486
191	4617	19432
192	4636	19386
193	4658	19353
194	4679	19317
195	4699	19277
196	4719	19238
197	4739	19197
198	4762	19168
199	4791	19165
200	4811	19125
201	4830	19081
202	4850	19044
203	4871	19008
204	4892	18973
205	4911	18930
206	4929	18883
207	4947	18840
208	4970	18812
209	4997	18800
210	5018	18765
211	5036	18722
212	5056	18682
213	5077	18647
214	5097	18611
215	5117	18573
216	5135	18531
217	5153	18487
218	5175	18457
219	5202	18444
220	5222	18407
221	5241	18368
222	5259	18325
223	5281	18295
224	5301	18259
225	5318	18215
226	5337	18175
227	5356	18136
228	5376	18100
229	5404	18094
230	5423	18056
231	5441	18014
232	5461	17978
233	5481	17942
234	5502	17912
235	5521	17874
236	5541	17839
237	5560	17802
238	5582	17774
239	5603	17745
240	5628	17727
241	5649	17696
242	5668	17658
243	5687	17621
244	5707	17589
245	5727	17554
246	5746	17520
247	5766	17484
248	5788	17458
249	5808	17425
250	5830	17398
251	5859	17392
252	5884	17375
253	5907	17350
254	5931	17329
255	5953	17301
256	5973	17268
257	5996	17245
258	6022	17230
259	6049	17218
260	6072	17195
261	6096	17171
262	6119	17148
263	6144	17129
264	6169	17112
265	6192	17088
266	6214	17061
267	6236	17033
268	6263	17021
269	6286	16997
270	6309	16971
271	6331	16946
272	6351	16914
273	6374	16890
274	6395	16860
275	6417	16833
276	6440	16810
277	6465	16790
278	6491	16774
279	6516	16757
280	6539	16732
281	6559	16702
282	6581	16675
283	6605	16652
284	6626	16624
285	6650	16602
286	6672	16576
287	6698	16560
288	6721	16537
289	6743	16508
290	6763	16478
291	6783	16446
292	6805	16420
293	6828	16397
294	6852	16377
295	6875	16352
296	6897	16326
297	6922	16306
298	6948	16290
299	6969	16262
300	6990	16233
301	7011	16206
302	7033	16178
303	7056	16154
304	7075	16121
305	7094	16089
306	7122	16077
307	7148	16060
308	7169	16033
309	7190	16004
310	7212	15978
311	7231	15947
312	7253	15919
313	7274	15892
314	7294	15863
315	7318	15840
316	7340	15814
317	7371	15809
318	7395	15787
319	7415	15757
320	7438	15734
321	7460	15708
322	7480	15678
323	7501	15650
324	7520	15620
325	7544	15597
326	7569	15578
327	7593	15557
328	7614	15528
329	7632	15497
330	7654	15471
331	7676	15446
332	7695	15413
333	7715	15384
334	7737	15359
335	7762	15339
336	7786	15318
337	7806	15289
338	7827	15263
339	7850	15238
340	7872	15214
341	7895	15191
342	7915	15162
343	7937	15135
344	7962	15117
345	7990	15103
346	8012	15078
347	8035	15055
348	8058	15030
349	8082	15010
350	8103	14982
351	8125	14958
352	8146	14930
353	8170	14910
354	8196	14891
355	8214	14859
