iter	Passed	Remaining
0	193	193214
1	227	113412
2	277	92223
3	316	78779
4	354	70638
5	397	65852
6	447	63455
7	508	63071
8	560	61674
9	600	59447
10	678	61022
11	748	61591
12	801	60814
13	856	60290
14	917	60235
15	963	59262
16	1001	57929
17	1048	57204
18	1091	56368
19	1136	55681
20	1172	54638
21	1212	53895
22	1247	52980
23	1278	51976
24	1310	51095
25	1340	50233
26	1371	49413
27	1402	48697
28	1433	48005
29	1465	47377
30	1498	46826
31	1536	46484
32	1582	46383
33	1620	46048
34	1674	46180
35	1712	45863
36	1770	46086
37	1820	46086
38	1886	46488
39	1921	46104
40	1955	45734
41	1994	45489
42	2025	45070
43	2072	45021
44	2148	45596
45	2200	45640
46	2247	45565
47	2298	45588
48	2338	45390
49	2365	44946
50	2398	44626
51	2430	44301
52	2460	43967
53	2495	43714
54	2533	43521
55	2579	43476
56	2628	43487
57	2664	43273
58	2697	43030
59	2746	43036
60	2792	42988
61	2850	43129
62	2903	43184
63	2958	43265
64	3011	43320
65	3072	43474
66	3117	43407
67	3159	43300
68	3193	43087
69	3227	42875
70	3257	42624
71	3286	42356
72	3314	42089
73	3345	41865
74	3376	41642
75	3405	41405
76	3445	41304
77	3481	41151
78	3509	40912
79	3542	40742
80	3582	40646
81	3622	40550
82	3667	40523
83	3702	40378
84	3733	40189
85	3765	40018
86	3795	39834
87	3825	39646
88	3858	39500
89	3887	39308
90	3919	39153
91	3956	39049
92	3993	38951
93	4045	38990
94	4106	39118
95	4153	39110
96	4198	39089
97	4242	39045
98	4283	38986
99	4330	38970
100	4378	38975
101	4420	38914
102	4454	38788
103	4487	38664
104	4523	38557
105	4556	38427
106	4587	38288
107	4618	38147
108	4651	38020
109	4681	37875
110	4713	37750
111	4746	37630
112	4783	37545
113	4811	37395
114	4843	37271
115	4874	37143
116	4905	37021
117	4940	36930
118	4974	36824
119	5015	36780
120	5048	36674
121	5082	36573
122	5116	36478
123	5145	36350
124	5177	36240
125	5210	36145
126	5245	36060
127	5278	35963
128	5310	35854
129	5339	35733
130	5365	35595
131	5397	35495
132	5434	35428
133	5472	35367
134	5505	35277
135	5540	35198
136	5572	35102
137	5602	34997
138	5635	34907
139	5668	34821
140	5706	34762
141	5736	34658
142	5766	34556
143	5797	34464
144	5827	34363
145	5860	34279
146	5889	34177
147	5927	34122
148	5960	34045
149	5991	33954
150	6023	33869
151	6058	33797
152	6088	33706
153	6121	33629
154	6155	33556
155	6188	33480
156	6220	33400
157	6250	33311
158	6285	33244
159	6318	33174
160	6355	33121
161	6396	33088
162	6431	33023
163	6463	32949
164	6495	32873
165	6527	32797
166	6559	32721
167	6591	32644
168	6634	32620
169	6667	32551
170	6700	32484
171	6731	32407
172	6765	32339
173	6800	32284
174	6834	32219
175	6869	32160
176	6900	32084
177	6928	31994
178	6961	31930
179	6992	31856
180	7025	31790
181	7056	31715
182	7087	31643
183	7119	31571
184	7151	31503
185	7180	31422
186	7211	31351
187	7244	31288
188	7279	31234
189	7311	31168
190	7342	31098
191	7374	31035
192	7404	30959
193	7433	30881
194	7464	30814
195	7494	30741
196	7525	30676
197	7556	30607
198	7587	30540
199	7620	30480
200	7653	30422
201	7685	30363
202	7721	30317
203	7772	30327
204	7825	30346
205	7868	30329
206	7905	30286
207	7941	30240
208	7981	30208
209	8016	30157
210	8055	30121
211	8093	30082
212	8127	30030
213	8158	29965
214	8192	29913
215	8224	29851
216	8254	29784
217	8286	29725
218	8318	29663
219	8353	29616
220	8397	29601
221	8435	29563
222	8492	29588
223	8539	29582
224	8573	29532
225	8630	29556
226	8664	29505
227	8697	29449
228	8730	29394
229	8764	29340
230	8795	29281
231	8827	29222
232	8861	29171
233	8894	29116
234	8925	29054
235	8953	28985
236	8983	28922
237	9016	28868
238	9048	28811
239	9084	28767
240	9124	28736
241	9161	28695
242	9196	28649
243	9228	28592
244	9261	28540
245	9290	28476
246	9324	28427
247	9364	28395
248	9404	28365
249	9441	28325
250	9496	28339
251	9567	28399
252	9638	28459
253	9708	28514
254	9763	28525
255	9800	28481
256	9838	28442
257	9869	28384
258	9901	28327
259	9937	28282
260	9969	28229
261	10000	28169
262	10035	28123
263	10077	28093
264	10112	28048
265	10150	28008
266	10187	27969
267	10226	27932
